id,Pastry,Z_Scratch,K_Scatch,Stains,Dirtiness,Bumps,Other_Faults
19276,0.03,0.06,0.08,0.0,0.09,0.36,0.41
19277,0.0,0.02,0.0,0.0,0.04,0.31,0.63
19278,0.12,0.14,0.01,0.0,0.02,0.41,0.46
19279,0.02,0.0,0.0,0.01,0.0,0.27,0.62
19280,0.19,0.1,0.0,0.0,0.03,0.27,0.31
19281,0.0,0.0,0.85,0.0,0.0,0.0,0.08
19282,0.11,0.05,0.0,0.0,0.0,0.72,0.24
19283,0.0,0.05,0.67,0.0,0.0,0.04,0.38
19284,0.02,0.01,0.07,0.0,0.12,0.15,0.48
19285,0.13,0.06,0.41,0.0,0.01,0.07,0.22
19286,0.18,0.04,0.28,0.0,0.05,0.13,0.34
19287,0.1,0.03,0.02,0.0,0.04,0.37,0.44
19288,0.01,0.01,0.0,0.0,0.0,0.44,0.37
19289,0.05,0.0,0.0,0.02,0.02,0.64,0.36
19290,0.07,0.0,0.0,0.0,0.07,0.36,0.4
19291,0.0,0.0,0.99,0.0,0.0,0.0,0.03
19292,0.2,0.01,0.03,0.0,0.03,0.39,0.25
19293,0.04,0.14,0.0,0.0,0.0,0.21,0.63
19294,0.12,0.03,0.0,0.0,0.0,0.43,0.43
19295,0.0,0.0,0.0,0.0,0.01,0.62,0.39
19296,0.0,0.03,0.0,0.0,0.01,0.54,0.23
19297,0.29,0.03,0.01,0.0,0.05,0.28,0.63
19298,0.07,0.02,0.04,0.0,0.2,0.22,0.62
19299,0.15,0.18,0.03,0.0,0.05,0.28,0.46
19300,0.0,0.0,0.87,0.0,0.0,0.0,0.11
19301,0.0,0.0,0.96,0.0,0.0,0.0,0.08
19302,0.0,0.0,0.0,0.7,0.01,0.0,0.25
19303,0.24,0.01,0.0,0.0,0.05,0.18,0.62
19304,0.0,0.0,0.83,0.0,0.0,0.0,0.1
19305,0.0,0.0,0.99,0.0,0.0,0.0,0.02
19306,0.0,0.0,0.0,0.63,0.0,0.17,0.3
19307,0.01,0.02,0.02,0.0,0.04,0.44,0.63
19308,0.03,0.08,0.25,0.0,0.01,0.34,0.31
19309,0.21,0.04,0.07,0.0,0.01,0.47,0.3
19310,0.02,0.04,0.07,0.13,0.02,0.26,0.52
19311,0.01,0.03,0.0,0.0,0.05,0.23,0.44
19312,0.03,0.03,0.53,0.0,0.0,0.05,0.34
19313,0.0,0.12,0.07,0.0,0.01,0.39,0.53
19314,0.0,0.13,0.0,0.0,0.0,0.5,0.47
19315,0.02,0.0,0.0,0.88,0.01,0.01,0.13
19316,0.19,0.02,0.01,0.0,0.03,0.51,0.24
19317,0.02,0.1,0.0,0.18,0.03,0.21,0.59
19318,0.0,0.1,0.0,0.34,0.0,0.21,0.36
19319,0.0,0.29,0.02,0.01,0.0,0.21,0.37
19320,0.0,0.0,0.74,0.0,0.0,0.0,0.25
19321,0.3,0.0,0.0,0.0,0.04,0.36,0.54
19322,0.01,0.02,0.0,0.0,0.0,0.47,0.34
19323,0.13,0.03,0.0,0.0,0.01,0.48,0.42
19324,0.38,0.02,0.0,0.0,0.01,0.27,0.34
19325,0.0,0.03,0.07,0.0,0.02,0.36,0.5
19326,0.1,0.36,0.0,0.0,0.0,0.41,0.23
19327,0.0,0.08,0.12,0.0,0.02,0.12,0.49
19328,0.0,0.07,0.29,0.01,0.03,0.16,0.36
19329,0.0,0.0,0.91,0.0,0.0,0.0,0.05
19330,0.07,0.02,0.01,0.0,0.02,0.28,0.42
19331,0.12,0.0,0.01,0.0,0.01,0.22,0.36
19332,0.21,0.02,0.01,0.0,0.02,0.38,0.28
19333,0.42,0.11,0.0,0.0,0.02,0.09,0.29
19334,0.01,0.32,0.01,0.06,0.01,0.38,0.46
19335,0.0,0.71,0.0,0.0,0.0,0.1,0.23
19336,0.26,0.0,0.0,0.0,0.0,0.18,0.55
19337,0.1,0.08,0.0,0.0,0.03,0.15,0.34
19338,0.23,0.34,0.0,0.0,0.01,0.07,0.37
19339,0.03,0.0,0.0,0.0,0.0,0.38,0.48
19340,0.02,0.0,0.0,0.0,0.0,0.62,0.48
19341,0.0,0.0,0.87,0.0,0.0,0.0,0.08
19342,0.1,0.01,0.0,0.0,0.04,0.26,0.38
19343,0.0,0.14,0.21,0.0,0.0,0.48,0.34
19344,0.18,0.17,0.02,0.0,0.04,0.28,0.34
19345,0.0,0.84,0.0,0.0,0.0,0.08,0.21
19346,0.0,0.09,0.06,0.0,0.03,0.31,0.5
19347,0.0,0.69,0.01,0.0,0.01,0.18,0.18
19348,0.03,0.02,0.01,0.0,0.05,0.37,0.56
19349,0.0,0.0,0.1,0.0,0.03,0.13,0.42
19350,0.07,0.02,0.08,0.0,0.02,0.18,0.53
19351,0.01,0.01,0.0,0.0,0.01,0.43,0.39
19352,0.43,0.03,0.0,0.0,0.0,0.12,0.52
19353,0.07,0.18,0.01,0.0,0.0,0.58,0.41
19354,0.0,0.03,0.0,0.0,0.01,0.49,0.18
19355,0.1,0.02,0.0,0.0,0.01,0.29,0.56
19356,0.0,0.0,0.95,0.0,0.0,0.0,0.01
19357,0.11,0.01,0.0,0.0,0.2,0.16,0.41
19358,0.01,0.05,0.06,0.0,0.0,0.3,0.43
19359,0.06,0.01,0.2,0.02,0.01,0.23,0.3
19360,0.07,0.01,0.0,0.01,0.03,0.33,0.48
19361,0.12,0.0,0.0,0.0,0.04,0.3,0.38
19362,0.01,0.06,0.03,0.43,0.13,0.03,0.54
19363,0.08,0.01,0.0,0.0,0.02,0.55,0.34
19364,0.0,0.0,0.0,0.0,0.0,0.72,0.28
19365,0.13,0.02,0.0,0.0,0.03,0.2,0.65
19366,0.04,0.0,0.02,0.01,0.0,0.19,0.44
19367,0.0,0.0,0.01,0.8,0.0,0.02,0.34
19368,0.21,0.0,0.0,0.0,0.08,0.19,0.58
19369,0.3,0.01,0.0,0.0,0.0,0.35,0.32
19370,0.26,0.01,0.01,0.0,0.01,0.44,0.2
19371,0.06,0.0,0.01,0.0,0.03,0.45,0.36
19372,0.0,0.0,1.0,0.0,0.0,0.0,0.0
19373,0.0,0.5,0.0,0.0,0.0,0.12,0.38
19374,0.0,0.11,0.01,0.0,0.0,0.35,0.4
19375,0.07,0.0,0.0,0.0,0.0,0.36,0.53
19376,0.05,0.0,0.19,0.14,0.01,0.25,0.3
19377,0.08,0.23,0.0,0.0,0.0,0.44,0.3
19378,0.07,0.01,0.0,0.0,0.0,0.43,0.33
19379,0.31,0.41,0.0,0.0,0.04,0.25,0.35
19380,0.25,0.02,0.0,0.0,0.05,0.12,0.26
19381,0.0,0.0,0.91,0.0,0.0,0.0,0.13
19382,0.04,0.01,0.0,0.0,0.0,0.8,0.27
19383,0.21,0.01,0.0,0.0,0.0,0.44,0.39
19384,0.08,0.04,0.0,0.0,0.0,0.17,0.58
19385,0.13,0.0,0.09,0.61,0.02,0.0,0.28
19386,0.01,0.05,0.0,0.0,0.0,0.56,0.36
19387,0.0,0.0,0.97,0.0,0.0,0.0,0.01
19388,0.24,0.06,0.0,0.0,0.12,0.13,0.49
19389,0.6,0.04,0.0,0.0,0.07,0.13,0.34
19390,0.27,0.0,0.01,0.0,0.02,0.26,0.31
19391,0.08,0.06,0.31,0.03,0.08,0.39,0.41
19392,0.03,0.02,0.01,0.0,0.01,0.42,0.51
19393,0.0,0.0,0.85,0.0,0.0,0.0,0.12
19394,0.04,0.07,0.0,0.01,0.03,0.28,0.6
19395,0.06,0.78,0.0,0.0,0.0,0.12,0.25
19396,0.12,0.16,0.0,0.01,0.11,0.27,0.3
19397,0.13,0.16,0.02,0.0,0.11,0.22,0.48
19398,0.1,0.01,0.09,0.0,0.02,0.33,0.35
19399,0.13,0.01,0.0,0.0,0.07,0.21,0.56
19400,0.03,0.01,0.0,0.0,0.0,0.51,0.37
19401,0.01,0.02,0.2,0.08,0.05,0.26,0.42
19402,0.0,0.06,0.0,0.0,0.0,0.35,0.37
19403,0.24,0.04,0.0,0.0,0.23,0.3,0.44
19404,0.1,0.0,0.14,0.01,0.05,0.15,0.46
19405,0.04,0.0,0.0,0.0,0.01,0.54,0.42
19406,0.32,0.08,0.0,0.0,0.01,0.13,0.45
19407,0.11,0.05,0.0,0.0,0.0,0.38,0.47
19408,0.0,0.0,0.96,0.0,0.0,0.0,0.03
19409,0.03,0.02,0.02,0.0,0.0,0.56,0.3
19410,0.0,0.0,0.0,0.86,0.0,0.0,0.15
19411,0.04,0.64,0.0,0.0,0.01,0.2,0.27
19412,0.0,0.0,0.98,0.0,0.0,0.0,0.01
19413,0.09,0.01,0.0,0.0,0.01,0.25,0.25
19414,0.0,0.0,1.0,0.0,0.0,0.0,0.03
19415,0.04,0.0,0.01,0.03,0.04,0.56,0.26
19416,0.01,0.03,0.0,0.15,0.01,0.08,0.32
19417,0.0,0.0,0.0,0.0,0.03,0.42,0.29
19418,0.04,0.0,0.0,0.0,0.02,0.42,0.36
19419,0.0,0.04,0.01,0.14,0.05,0.15,0.38
19420,0.0,0.02,0.08,0.0,0.0,0.41,0.47
19421,0.0,0.01,0.02,0.4,0.02,0.05,0.38
19422,0.01,0.02,0.07,0.02,0.0,0.22,0.57
19423,0.0,0.0,0.0,0.0,0.0,0.32,0.54
19424,0.0,0.0,0.98,0.0,0.0,0.0,0.04
19425,0.33,0.01,0.0,0.0,0.0,0.25,0.43
19426,0.0,0.05,0.1,0.01,0.01,0.29,0.32
19427,0.0,0.0,0.95,0.0,0.0,0.0,0.05
19428,0.0,0.07,0.1,0.0,0.01,0.3,0.42
19429,0.01,0.12,0.49,0.02,0.02,0.16,0.48
19430,0.35,0.04,0.01,0.0,0.04,0.36,0.45
19431,0.0,0.0,0.0,0.0,0.0,0.33,0.73
19432,0.03,0.17,0.0,0.0,0.0,0.49,0.09
19433,0.24,0.0,0.0,0.0,0.07,0.51,0.3
19434,0.12,0.02,0.0,0.34,0.0,0.3,0.49
19435,0.16,0.0,0.0,0.0,0.01,0.52,0.31
19436,0.0,0.0,0.99,0.0,0.0,0.0,0.09
19437,0.07,0.0,0.0,0.0,0.04,0.26,0.33
19438,0.0,0.11,0.0,0.0,0.03,0.52,0.34
19439,0.0,0.03,0.0,0.0,0.0,0.31,0.46
19440,0.27,0.03,0.0,0.0,0.0,0.22,0.31
19441,0.13,0.08,0.01,0.0,0.03,0.15,0.34
19442,0.02,0.01,0.01,0.0,0.08,0.32,0.36
19443,0.0,0.0,0.73,0.0,0.0,0.0,0.24
19444,0.01,0.0,0.0,0.02,0.0,0.49,0.47
19445,0.07,0.17,0.04,0.0,0.09,0.08,0.41
19446,0.0,0.0,1.0,0.0,0.0,0.0,0.02
19447,0.14,0.66,0.0,0.0,0.0,0.09,0.17
19448,0.06,0.05,0.0,0.0,0.03,0.19,0.34
19449,0.02,0.01,0.0,0.0,0.01,0.6,0.33
19450,0.05,0.45,0.0,0.0,0.0,0.22,0.26
19451,0.04,0.01,0.06,0.0,0.01,0.25,0.5
19452,0.01,0.0,0.0,0.0,0.0,0.66,0.24
19453,0.08,0.0,0.0,0.0,0.01,0.62,0.39
19454,0.25,0.25,0.08,0.0,0.09,0.3,0.33
19455,0.17,0.1,0.01,0.0,0.1,0.5,0.44
19456,0.0,0.05,0.0,0.0,0.0,0.42,0.33
19457,0.18,0.03,0.0,0.0,0.01,0.55,0.31
19458,0.01,0.05,0.01,0.0,0.02,0.48,0.35
19459,0.04,0.09,0.09,0.03,0.0,0.36,0.48
19460,0.03,0.65,0.04,0.0,0.01,0.2,0.41
19461,0.0,0.0,0.95,0.0,0.0,0.0,0.06
19462,0.0,0.03,0.03,0.01,0.02,0.41,0.41
19463,0.0,0.0,0.83,0.0,0.0,0.0,0.07
19464,0.0,0.0,0.97,0.0,0.0,0.0,0.01
19465,0.04,0.01,0.0,0.0,0.0,0.79,0.32
19466,0.35,0.0,0.0,0.0,0.02,0.15,0.37
19467,0.0,0.0,0.96,0.0,0.0,0.0,0.07
19468,0.03,0.0,0.0,0.0,0.01,0.29,0.51
19469,0.13,0.06,0.0,0.01,0.05,0.47,0.4
19470,0.14,0.01,0.65,0.0,0.02,0.03,0.21
19471,0.0,0.0,0.0,0.0,0.0,0.56,0.41
19472,0.0,0.01,0.0,0.0,0.05,0.51,0.37
19473,0.04,0.06,0.15,0.0,0.11,0.24,0.5
19474,0.08,0.0,0.02,0.0,0.01,0.64,0.15
19475,0.15,0.0,0.62,0.0,0.01,0.02,0.18
19476,0.0,0.0,0.97,0.0,0.0,0.0,0.04
19477,0.52,0.02,0.0,0.0,0.05,0.13,0.31
19478,0.1,0.14,0.01,0.0,0.09,0.25,0.31
19479,0.14,0.6,0.0,0.0,0.0,0.12,0.37
19480,0.09,0.01,0.0,0.0,0.0,0.49,0.33
19481,0.01,0.12,0.0,0.1,0.01,0.25,0.37
19482,0.0,0.05,0.12,0.0,0.0,0.13,0.5
19483,0.22,0.45,0.0,0.0,0.08,0.25,0.29
19484,0.0,0.0,0.92,0.0,0.0,0.0,0.13
19485,0.27,0.01,0.0,0.0,0.04,0.35,0.27
19486,0.26,0.03,0.01,0.0,0.11,0.07,0.3
19487,0.01,0.0,0.0,0.85,0.0,0.0,0.05
19488,0.21,0.03,0.0,0.0,0.02,0.23,0.45
19489,0.0,0.0,0.86,0.0,0.0,0.0,0.11
19490,0.0,0.05,0.0,0.0,0.0,0.49,0.3
19491,0.13,0.0,0.75,0.0,0.0,0.0,0.24
19492,0.0,0.0,0.97,0.0,0.0,0.0,0.03
19493,0.02,0.0,0.0,0.0,0.0,0.73,0.35
19494,0.0,0.0,0.0,0.0,0.02,0.48,0.43
19495,0.0,0.01,0.0,0.01,0.0,0.43,0.58
19496,0.17,0.02,0.0,0.0,0.0,0.46,0.26
19497,0.0,0.02,0.08,0.0,0.0,0.4,0.49
19498,0.11,0.27,0.0,0.0,0.0,0.44,0.2
19499,0.07,0.0,0.05,0.0,0.01,0.27,0.52
19500,0.28,0.01,0.0,0.0,0.01,0.17,0.38
19501,0.0,0.0,0.99,0.0,0.0,0.0,0.02
19502,0.25,0.02,0.0,0.0,0.06,0.28,0.41
19503,0.0,0.02,0.05,0.01,0.0,0.18,0.66
19504,0.19,0.01,0.01,0.01,0.04,0.08,0.55
19505,0.0,0.0,0.89,0.0,0.0,0.0,0.11
19506,0.06,0.02,0.25,0.0,0.0,0.2,0.38
19507,0.12,0.0,0.0,0.0,0.15,0.22,0.52
19508,0.04,0.0,0.0,0.0,0.0,0.43,0.54
19509,0.16,0.0,0.0,0.0,0.0,0.5,0.23
19510,0.02,0.04,0.23,0.03,0.03,0.21,0.63
19511,0.06,0.18,0.07,0.0,0.0,0.37,0.38
19512,0.15,0.0,0.0,0.0,0.0,0.25,0.52
19513,0.0,0.03,0.0,0.01,0.0,0.49,0.38
19514,0.14,0.0,0.0,0.0,0.0,0.36,0.31
19515,0.0,0.04,0.04,0.05,0.02,0.24,0.52
19516,0.03,0.0,0.01,0.3,0.03,0.25,0.42
19517,0.0,0.0,0.78,0.0,0.0,0.0,0.12
19518,0.07,0.75,0.0,0.01,0.05,0.21,0.32
19519,0.0,0.0,0.92,0.0,0.0,0.0,0.04
19520,0.0,0.01,0.0,0.0,0.01,0.68,0.4
19521,0.01,0.0,0.0,0.92,0.0,0.01,0.05
19522,0.04,0.01,0.05,0.0,0.0,0.14,0.75
19523,0.0,0.0,0.91,0.0,0.0,0.0,0.15
19524,0.0,0.0,0.81,0.0,0.0,0.0,0.17
19525,0.21,0.01,0.0,0.0,0.02,0.19,0.69
19526,0.0,0.0,0.88,0.0,0.0,0.0,0.1
19527,0.0,0.0,0.94,0.0,0.0,0.0,0.02
19528,0.0,0.03,0.07,0.0,0.13,0.39,0.5
19529,0.06,0.34,0.0,0.0,0.0,0.33,0.52
19530,0.02,0.39,0.0,0.0,0.0,0.31,0.28
19531,0.12,0.03,0.0,0.0,0.04,0.21,0.48
19532,0.0,0.0,0.76,0.0,0.0,0.0,0.12
19533,0.0,0.06,0.0,0.0,0.0,0.54,0.48
19534,0.28,0.12,0.02,0.0,0.25,0.1,0.39
19535,0.37,0.03,0.03,0.0,0.05,0.04,0.56
19536,0.0,0.03,0.03,0.0,0.0,0.29,0.42
19537,0.0,0.0,1.0,0.0,0.0,0.0,0.01
19538,0.01,0.12,0.0,0.0,0.01,0.3,0.49
19539,0.03,0.04,0.03,0.0,0.07,0.24,0.49
19540,0.16,0.02,0.06,0.0,0.03,0.12,0.63
19541,0.01,0.04,0.0,0.0,0.0,0.45,0.41
19542,0.1,0.0,0.11,0.0,0.05,0.19,0.35
19543,0.08,0.01,0.1,0.0,0.0,0.4,0.46
19544,0.07,0.05,0.54,0.0,0.0,0.03,0.27
19545,0.06,0.53,0.0,0.02,0.05,0.25,0.37
19546,0.08,0.02,0.05,0.0,0.0,0.32,0.54
19547,0.08,0.03,0.0,0.0,0.03,0.24,0.43
19548,0.04,0.02,0.02,0.0,0.0,0.27,0.64
19549,0.0,0.68,0.01,0.0,0.0,0.13,0.2
19550,0.0,0.0,0.0,0.0,0.0,0.75,0.2
19551,0.16,0.0,0.05,0.0,0.05,0.16,0.56
19552,0.05,0.7,0.0,0.0,0.01,0.06,0.26
19553,0.04,0.22,0.03,0.0,0.05,0.18,0.5
19554,0.06,0.01,0.02,0.0,0.01,0.19,0.73
19555,0.15,0.02,0.0,0.0,0.02,0.15,0.66
19556,0.0,0.0,0.96,0.0,0.0,0.0,0.0
19557,0.04,0.04,0.0,0.26,0.1,0.25,0.62
19558,0.17,0.02,0.01,0.0,0.06,0.34,0.48
19559,0.09,0.07,0.27,0.0,0.02,0.07,0.31
19560,0.0,0.04,0.0,0.0,0.01,0.53,0.38
19561,0.0,0.0,0.95,0.0,0.0,0.0,0.07
19562,0.0,0.0,1.0,0.0,0.0,0.0,0.03
19563,0.0,0.05,0.69,0.0,0.0,0.04,0.14
19564,0.21,0.04,0.01,0.0,0.07,0.17,0.4
19565,0.0,0.0,0.95,0.0,0.0,0.0,0.05
19566,0.0,0.0,0.86,0.0,0.0,0.0,0.05
19567,0.0,0.0,0.0,0.0,0.01,0.51,0.41
19568,0.0,0.0,1.0,0.0,0.0,0.0,0.0
19569,0.02,0.01,0.05,0.0,0.0,0.48,0.33
19570,0.0,0.0,0.99,0.0,0.0,0.0,0.03
19571,0.0,0.0,0.83,0.0,0.0,0.0,0.12
19572,0.0,0.0,0.84,0.0,0.0,0.0,0.05
19573,0.05,0.75,0.0,0.0,0.0,0.05,0.17
19574,0.02,0.33,0.0,0.0,0.0,0.36,0.18
19575,0.0,0.0,0.85,0.0,0.0,0.03,0.13
19576,0.43,0.03,0.04,0.0,0.04,0.28,0.35
19577,0.47,0.0,0.0,0.0,0.05,0.1,0.43
19578,0.38,0.01,0.01,0.0,0.01,0.12,0.63
19579,0.04,0.02,0.02,0.0,0.02,0.19,0.59
19580,0.15,0.0,0.01,0.0,0.11,0.13,0.25
19581,0.0,0.0,0.93,0.0,0.0,0.0,0.1
19582,0.0,0.0,0.0,0.7,0.0,0.0,0.3
19583,0.0,0.02,0.0,0.17,0.0,0.35,0.39
19584,0.0,0.54,0.0,0.0,0.02,0.23,0.27
19585,0.0,0.0,0.86,0.0,0.0,0.0,0.08
19586,0.45,0.02,0.03,0.0,0.08,0.13,0.37
19587,0.3,0.0,0.0,0.0,0.04,0.25,0.51
19588,0.0,0.02,0.0,0.0,0.02,0.48,0.46
19589,0.0,0.02,0.0,0.0,0.0,0.41,0.29
19590,0.0,0.0,0.99,0.0,0.0,0.0,0.01
19591,0.31,0.02,0.01,0.0,0.0,0.38,0.38
19592,0.13,0.01,0.0,0.0,0.07,0.08,0.76
19593,0.06,0.04,0.02,0.06,0.12,0.13,0.37
19594,0.02,0.01,0.04,0.0,0.09,0.28,0.3
19595,0.05,0.18,0.0,0.0,0.03,0.24,0.49
19596,0.21,0.52,0.0,0.0,0.02,0.32,0.42
19597,0.17,0.31,0.0,0.0,0.03,0.16,0.43
19598,0.0,0.0,0.01,0.85,0.01,0.01,0.19
19599,0.06,0.01,0.02,0.0,0.0,0.47,0.28
19600,0.05,0.0,0.0,0.0,0.01,0.37,0.47
19601,0.0,0.0,0.97,0.0,0.0,0.0,0.04
19602,0.0,0.0,0.79,0.0,0.0,0.0,0.11
19603,0.05,0.0,0.0,0.0,0.0,0.66,0.33
19604,0.05,0.0,0.0,0.0,0.0,0.57,0.28
19605,0.0,0.0,0.0,0.0,0.0,0.79,0.15
19606,0.0,0.01,0.8,0.0,0.0,0.0,0.16
19607,0.0,0.02,0.07,0.01,0.01,0.37,0.5
19608,0.51,0.02,0.0,0.0,0.0,0.25,0.21
19609,0.21,0.12,0.01,0.0,0.05,0.32,0.27
19610,0.04,0.01,0.01,0.0,0.0,0.25,0.4
19611,0.0,0.08,0.21,0.0,0.02,0.51,0.48
19612,0.04,0.02,0.0,0.0,0.0,0.53,0.37
19613,0.01,0.04,0.0,0.78,0.06,0.04,0.16
19614,0.02,0.0,0.0,0.0,0.01,0.48,0.52
19615,0.0,0.0,0.94,0.0,0.0,0.0,0.06
19616,0.12,0.01,0.01,0.0,0.03,0.28,0.53
19617,0.0,0.01,0.0,0.0,0.02,0.35,0.58
19618,0.02,0.01,0.0,0.0,0.01,0.84,0.19
19619,0.29,0.02,0.0,0.0,0.16,0.11,0.43
19620,0.0,0.0,0.92,0.0,0.0,0.0,0.08
19621,0.0,0.05,0.85,0.0,0.0,0.01,0.07
19622,0.03,0.03,0.07,0.04,0.0,0.37,0.43
19623,0.0,0.29,0.0,0.0,0.0,0.46,0.27
19624,0.0,0.02,0.9,0.0,0.0,0.01,0.06
19625,0.02,0.04,0.03,0.0,0.04,0.27,0.42
19626,0.01,0.03,0.0,0.0,0.02,0.72,0.23
19627,0.0,0.0,0.0,0.0,0.0,0.61,0.31
19628,0.26,0.01,0.0,0.0,0.02,0.19,0.46
19629,0.14,0.03,0.01,0.0,0.04,0.3,0.22
19630,0.32,0.01,0.0,0.0,0.27,0.14,0.32
19631,0.0,0.0,0.89,0.0,0.0,0.0,0.06
19632,0.14,0.0,0.0,0.0,0.0,0.53,0.3
19633,0.24,0.0,0.0,0.0,0.48,0.04,0.19
19634,0.01,0.01,0.69,0.0,0.0,0.04,0.16
19635,0.04,0.03,0.04,0.0,0.04,0.1,0.61
19636,0.0,0.03,0.0,0.0,0.0,0.73,0.38
19637,0.22,0.03,0.05,0.0,0.14,0.28,0.45
19638,0.14,0.46,0.0,0.0,0.09,0.2,0.41
19639,0.0,0.14,0.0,0.02,0.07,0.41,0.35
19640,0.07,0.0,0.0,0.0,0.05,0.32,0.57
19641,0.01,0.24,0.01,0.01,0.01,0.4,0.43
19642,0.01,0.02,0.0,0.0,0.01,0.45,0.44
19643,0.0,0.01,0.0,0.0,0.0,0.74,0.32
19644,0.23,0.0,0.0,0.0,0.0,0.05,0.74
19645,0.08,0.05,0.0,0.0,0.0,0.51,0.28
19646,0.0,0.1,0.03,0.0,0.0,0.37,0.48
19647,0.09,0.25,0.01,0.0,0.01,0.41,0.38
19648,0.0,0.0,0.8,0.0,0.01,0.02,0.22
19649,0.27,0.0,0.01,0.0,0.06,0.08,0.34
19650,0.04,0.0,0.0,0.0,0.0,0.61,0.29
19651,0.11,0.05,0.0,0.02,0.04,0.18,0.46
19652,0.0,0.13,0.0,0.0,0.03,0.48,0.48
19653,0.23,0.04,0.02,0.0,0.02,0.25,0.47
19654,0.0,0.06,0.04,0.03,0.0,0.18,0.47
19655,0.0,0.0,0.97,0.0,0.0,0.0,0.01
19656,0.2,0.0,0.0,0.0,0.02,0.47,0.27
19657,0.05,0.48,0.0,0.0,0.0,0.29,0.35
19658,0.12,0.04,0.0,0.0,0.01,0.11,0.37
19659,0.19,0.0,0.0,0.0,0.0,0.62,0.26
19660,0.21,0.44,0.01,0.0,0.05,0.31,0.29
19661,0.17,0.12,0.0,0.0,0.0,0.44,0.49
19662,0.15,0.03,0.04,0.0,0.07,0.12,0.53
19663,0.0,0.0,0.0,0.82,0.01,0.0,0.31
19664,0.06,0.04,0.04,0.02,0.02,0.52,0.43
19665,0.0,0.0,0.86,0.0,0.0,0.0,0.11
19666,0.03,0.03,0.01,0.0,0.03,0.22,0.52
